Open,High,Low,Close,Volume,Dividends,Stock Splits,date
7407.95,7421.11,7150.11,7158.43,2635810000,0,0,2018-12-04
7017.05,7189.52,6984.34,7188.26,2833870000,0,0,2018-12-06
7163.49,7205.37,6945.27,6969.25,2475160000,0,0,2018-12-07
6959.63,7047.62,6878.99,7020.52,2367560000,0,0,2018-12-10
7121.66,7129.83,6983.01,7031.83,2246060000,0,0,2018-12-11
7127.0,7197.29,7096.56,7098.31,2412300000,0,0,2018-12-12
7135.28,7154.64,7034.82,7070.33,2143520000,0,0,2018-12-13
6986.37,7027.17,6898.99,6910.66,2200510000,0,0,2018-12-14
6886.46,6931.81,6710.01,6753.73,2665240000,0,0,2018-12-17
6809.82,6847.27,6733.71,6783.91,2595400000,0,0,2018-12-18
6777.59,6868.86,6586.5,6636.83,2899950000,0,0,2018-12-19
6607.76,6666.2,6447.91,6528.41,3258090000,0,0,2018-12-20
6573.49,6586.68,6304.63,6332.99,4534120000,0,0,2018-12-21
6278.49,6355.18,6190.17,6192.92,1647270000,0,0,2018-12-24
6257.86,6555.53,6214.34,6554.36,2558940000,0,0,2018-12-26
6457.19,6583.01,6336.97,6579.49,2415870000,0,0,2018-12-27
6616.79,6684.18,6529.22,6584.52,2199090000,0,0,2018-12-28
6649.52,6659.96,6570.06,6635.28,2098560000,0,0,2018-12-31
6506.91,6693.71,6506.88,6665.94,2261800000,0,0,2019-01-02
6584.77,6600.21,6457.13,6463.5,2607290000,0,0,2019-01-03
6567.14,6760.69,6554.24,6738.86,2579550000,0,0,2019-01-04
6757.53,6855.6,6741.4,6823.47,2507550000,0,0,2019-01-07
6893.44,6909.58,6795.86,6897.0,2380290000,0,0,2019-01-08
6923.06,6985.22,6899.56,6957.08,2422590000,0,0,2019-01-09
6908.65,6991.37,6877.08,6986.07,2179080000,0,0,2019-01-10
6947.46,6975.65,6933.6,6971.48,2066500000,0,0,2019-01-11
6908.03,6936.22,6887.48,6905.92,1942210000,0,0,2019-01-14
6931.39,7025.85,6928.12,7023.83,2038090000,0,0,2019-01-15
7033.75,7079.63,7028.12,7034.69,2149580000,0,0,2019-01-16
7010.13,7113.95,7003.62,7084.46,2128840000,0,0,2019-01-17
7134.1,7185.38,7096.62,7157.23,2451240000,0,0,2019-01-18
7109.57,7110.16,6979.81,7020.36,2380950000,0,0,2019-01-22
7061.65,7084.85,6953.23,7025.77,2274420000,0,0,2019-01-23
7042.25,7078.96,7029.95,7073.46,2400290000,0,0,2019-01-24
7128.18,7174.56,7111.09,7164.86,2440840000,0,0,2019-01-25
7075.01,7086.3,7034.25,7085.68,2435480000,0,0,2019-01-28
7087.49,7092.29,7011.47,7028.29,2089690000,0,0,2019-01-29
7094.79,7201.31,7065.57,7183.08,2544050000,0,0,2019-01-30
7208.17,7303.12,7205.95,7281.74,2918710000,0,0,2019-01-31
7256.37,7299.94,7243.41,7263.87,2383430000,0,0,2019-02-01
7266.28,7348.23,7261.07,7347.54,2099470000,0,0,2019-02-04
7356.34,7408.68,7355.36,7402.08,2265520000,0,0,2019-02-05
7400.44,7410.77,7346.72,7375.28,2167130000,0,0,2019-02-06
7316.5,7336.74,7235.05,7288.35,2295080000,0,0,2019-02-07
7232.3,7299.44,7225.14,7298.2,2086260000,0,0,2019-02-08
7327.37,7343.56,7290.03,7307.9,1897800000,0,0,2019-02-11
7358.85,7419.43,7349.8,7414.62,2124330000,0,0,2019-02-12
7437.46,7461.66,7413.84,7420.38,2093800000,0,0,2019-02-13
7390.25,7454.42,7375.71,7426.95,2103370000,0,0,2019-02-14
7468.57,7477.28,7440.26,7472.41,2257750000,0,0,2019-02-15
7450.75,7507.79,7450.27,7486.77,2120790000,0,0,2019-02-19
7490.31,7513.7,7455.25,7489.07,2181760000,0,0,2019-02-20
7475.41,7485.75,7430.89,7459.71,2119080000,0,0,2019-02-21
7481.63,7527.54,7479.01,7527.54,2417680000,0,0,2019-02-22
7585.3,7602.69,7551.61,7554.46,2363140000,0,0,2019-02-25
7535.29,7573.22,7524.31,7549.3,2257710000,0,0,2019-02-26
7526.42,7562.29,7485.39,7554.51,2423360000,0,0,2019-02-27
7533.31,7561.9,7516.48,7532.53,2647080000,0,0,2019-02-28
7587.45,7603.04,7540.75,7595.35,2463190000,0,0,2019-03-01
7636.62,7643.66,7501.56,7577.57,2569590000,0,0,2019-03-04
7582.29,7598.66,7543.54,7576.36,2142610000,0,0,2019-03-05
7575.38,7579.02,7499.87,7505.92,2242810000,0,0,2019-03-06
7483.79,7489.08,7397.19,7421.46,2440840000,0,0,2019-03-07
7334.35,7411.52,7332.92,7408.14,2245430000,0,0,2019-03-08
7442.56,7558.23,7442.4,7558.06,2226950000,0,0,2019-03-11
7571.85,7611.13,7560.46,7591.03,2161400000,0,0,2019-03-12
7621.38,7677.07,7619.46,7643.41,2366350000,0,0,2019-03-13
7644.79,7653.1,7627.02,7630.91,2176510000,0,0,2019-03-14
7658.41,7714.96,7652.04,7688.53,3447190000,0,0,2019-03-15
7696.38,7737.67,7677.74,7714.48,2274490000,0,0,2019-03-18
7747.4,7767.89,7699.15,7723.95,2433160000,0,0,2019-03-19
7721.95,7779.24,7674.04,7728.97,2424400000,0,0,2019-03-20
7705.43,7850.11,7705.43,7838.96,2483580000,0,0,2019-03-21
7800.25,7817.83,7642.57,7642.67,2490730000,0,0,2019-03-22
7618.98,7662.38,7579.29,7637.54,2130230000,0,0,2019-03-25
7700.0,7738.17,7649.21,7691.52,2068900000,0,0,2019-03-26
7702.05,7712.84,7582.09,7643.38,2221650000,0,0,2019-03-27
7660.07,7689.16,7619.82,7669.17,1902060000,0,0,2019-03-28
7726.71,7733.62,7688.51,7729.32,2233470000,0,0,2019-03-29
7800.24,7831.45,7777.09,7828.91,2198050000,0,0,2019-04-01
7824.61,7854.92,7811.28,7848.69,2110100000,0,0,2019-04-02
7891.18,7938.26,7870.9,7895.55,2487210000,0,0,2019-04-03
7894.26,7917.65,7844.96,7891.78,2094200000,0,0,2019-04-04
7914.51,7940.45,7909.14,7938.69,2148730000,0,0,2019-04-05
7924.89,7955.9,7891.85,7953.88,2069190000,0,0,2019-04-08
7924.77,7945.55,7897.61,7909.28,2067570000,0,0,2019-04-09
7922.73,7965.33,7916.9,7964.24,1998280000,0,0,2019-04-10
7975.2,7975.2,7933.41,7947.36,1956840000,0,0,2019-04-11
7984.15,7992.09,7952.61,7984.16,1955290000,0,0,2019-04-12
7987.16,7993.33,7933.57,7976.01,1816920000,0,0,2019-04-15
8000.57,8017.56,7978.81,8000.23,2095330000,0,0,2019-04-16
8044.97,8052.4,7973.38,7996.08,2290690000,0,0,2019-04-17
7998.45,8002.31,7950.97,7998.06,2089360000,0,0,2019-04-18
7969.37,8017.15,7965.9,8015.27,1776060000,0,0,2019-04-22
8026.75,8128.87,8023.81,8120.82,2075070000,0,0,2019-04-23
8122.88,8139.55,8101.7,8102.01,2022490000,0,0,2019-04-24
8150.85,8151.84,8075.41,8118.68,2063270000,0,0,2019-04-25
8100.28,8146.42,8060.89,8146.4,1971270000,0,0,2019-04-26
8147.65,8176.08,8136.41,8161.85,1761110000,0,0,2019-04-29
8104.91,8124.61,8050.55,8095.39,2115770000,0,0,2019-04-30
8132.93,8146.0,8048.23,8049.64,2247420000,0,0,2019-05-01
8046.48,8094.06,7976.77,8036.77,2158600000,0,0,2019-05-02
8092.88,8164.71,8084.8,8164.0,2046040000,0,0,2019-05-03
7981.85,8135.54,7981.85,8123.29,1966120000,0,0,2019-05-06
8043.52,8070.97,7899.02,7963.76,2376660000,0,0,2019-05-07
7946.24,8004.49,7923.35,7943.32,2175100000,0,0,2019-05-08
7853.21,7929.78,7796.16,7910.59,2520770000,0,0,2019-05-09
7881.31,7949.34,7759.34,7916.94,2387720000,0,0,2019-05-10
7720.07,7760.83,7627.22,7647.02,2478860000,0,0,2019-05-13
7689.66,7776.2,7665.3,7734.49,2084850000,0,0,2019-05-14
7682.8,7838.72,7682.24,7822.15,2001530000,0,0,2019-05-15
7832.58,7946.23,7826.67,7898.05,2163120000,0,0,2019-05-16
7829.03,7918.71,7810.35,7816.28,2134120000,0,0,2019-05-17
7714.06,7747.27,7678.35,7702.38,2122410000,0,0,2019-05-20
7765.57,7804.44,7752.92,7785.72,1993210000,0,0,2019-05-21
7749.8,7786.33,7738.35,7750.84,1881830000,0,0,2019-05-22
7660.72,7665.15,7585.32,7628.28,2243420000,0,0,2019-05-23
7675.57,7694.15,7631.25,7637.01,1682920000,0,0,2019-05-24
7655.66,7693.74,7603.76,7607.35,2352670000,0,0,2019-05-28
7553.02,7581.11,7503.94,7547.31,2278790000,0,0,2019-05-29
7565.46,7595.9,7527.66,7567.72,1872000000,0,0,2019-05-30
7470.95,7506.86,7448.23,7453.15,2236940000,0,0,2019-05-31
7441.21,7457.66,7292.22,7333.02,2576920000,0,0,2019-06-03
7413.94,7529.5,7385.02,7527.12,2369150000,0,0,2019-06-04
7585.68,7589.47,7498.17,7575.48,2115570000,0,0,2019-06-05
7582.24,7634.12,7546.22,7615.55,2070940000,0,0,2019-06-06
7652.97,7767.02,7647.91,7742.1,2066020000,0,0,2019-06-07
7798.87,7895.44,7795.76,7823.17,2049370000,0,0,2019-06-10
7901.04,7909.99,7798.63,7822.57,2114680000,0,0,2019-06-11
7803.13,7819.16,7773.97,7792.72,1952790000,0,0,2019-06-12
7822.56,7848.36,7813.6,7837.13,1838930000,0,0,2019-06-13
7807.19,7819.21,7778.12,7796.66,1804340000,0,0,2019-06-14
7819.43,7865.98,7812.61,7845.02,1935290000,0,0,2019-06-17
7920.98,8005.21,7911.67,7953.88,2244920000,0,0,2019-06-18
7970.26,7998.59,7930.38,7987.32,2014080000,0,0,2019-06-19
8087.45,8088.88,7996.87,8051.34,2053530000,0,0,2019-06-20
8028.69,8073.02,8011.2,8031.71,2894340000,0,0,2019-06-21
8040.58,8047.56,8004.63,8005.7,2070370000,0,0,2019-06-24
8005.27,8007.31,7879.15,7884.72,2127310000,0,0,2019-06-25
7933.92,7974.28,7903.07,7909.97,2104750000,0,0,2019-06-26
7939.36,7976.58,7935.47,7967.76,2023120000,0,0,2019-06-27
7988.76,8010.15,7961.46,8006.24,4078990000,0,0,2019-06-28
8145.85,8150.45,8059.29,8091.16,2208900000,0,0,2019-07-01
8086.65,8109.37,8063.11,8109.09,1946320000,0,0,2019-07-02
8129.57,8170.23,8122.34,8170.23,1548190000,0,0,2019-07-03
8123.28,8171.97,8093.66,8161.79,149410000,0,0,2019-07-05
8112.91,8161.79,8078.39,8098.38,177320000,0,0,2019-07-08
8061.41,8146.98,8061.32,8141.73,1866770000,0,0,2019-07-09
8183.19,8228.6,8160.56,8202.53,2060510000,0,0,2019-07-10
8219.28,8226.18,8171.63,8196.04,1966970000,0,0,2019-07-11
8209.2,8245.66,8201.52,8244.14,1824870000,0,0,2019-07-12
8263.18,8264.78,8236.27,8258.19,1783980000,0,0,2019-07-15
8251.66,8259.75,8204.23,8222.8,1933960000,0,0,2019-07-16
8224.0,8230.67,8184.66,8185.21,1846960000,0,0,2019-07-17
8151.76,8215.58,8135.12,8207.24,2016310000,0,0,2019-07-18
8241.34,8245.78,8144.63,8146.49,1878730000,0,0,2019-07-19
8171.99,8218.42,8171.54,8204.14,1845770000,0,0,2019-07-22
8242.5,8251.83,8193.89,8251.4,1832220000,0,0,2019-07-23
8227.36,8321.81,8226.5,8321.5,1947550000,0,0,2019-07-24
8294.68,8295.95,8233.4,8238.54,2023130000,0,0,2019-07-25
8294.3,8339.64,8291.12,8330.21,1954350000,0,0,2019-07-26
8325.1,8325.28,8247.37,8293.33,1874780000,0,0,2019-07-29
8231.77,8295.46,8228.02,8273.61,1884300000,0,0,2019-07-30
8290.8,8299.83,8110.02,8175.42,2667060000,0,0,2019-07-31
8190.56,8311.04,8080.52,8111.12,2792650000,0,0,2019-08-01
8056.42,8068.8,7953.67,8004.07,2252550000,0,0,2019-08-02
7823.33,7836.45,7662.9,7726.04,2636740000,0,0,2019-08-05
7804.51,7845.01,7739.57,7833.27,2201610000,0,0,2019-08-06
7747.27,7881.38,7702.42,7862.83,2453230000,0,0,2019-08-07
7921.59,8041.12,7896.15,8039.16,2415670000,0,0,2019-08-08
7997.19,8020.56,7910.35,7959.14,2224330000,0,0,2019-08-09
7907.49,7924.99,7833.79,7863.41,2056360000,0,0,2019-08-12
7852.37,8065.24,7851.58,8016.36,2346980000,0,0,2019-08-13
7877.33,7900.28,7762.87,7773.94,2522870000,0,0,2019-08-14
7790.2,7805.93,7716.55,7766.62,2182590000,0,0,2019-08-15
7828.35,7907.52,7828.35,7895.99,1995130000,0,0,2019-08-16
8006.18,8026.75,7895.99,8002.81,1934980000,0,0,2019-08-19
7989.36,8010.58,7948.09,7948.56,1747580000,0,0,2019-08-20
8017.07,8036.94,7998.5,8020.21,1716370000,0,0,2019-08-21
8038.79,8048.58,7937.12,7991.39,1777630000,0,0,2019-08-22
7943.65,8005.34,7730.77,7751.77,2207070000,0,0,2019-08-23
7829.58,7856.04,7789.05,7853.74,1688860000,0,0,2019-08-26
7908.78,7916.83,7795.18,7826.95,1913760000,0,0,2019-08-27
7798.35,7866.87,7766.67,7856.88,1656930000,0,0,2019-08-28
7945.78,7992.29,7925.83,7973.39,1700840000,0,0,2019-08-29
8015.16,8017.91,7914.74,7962.88,1665840000,0,0,2019-08-30
7906.44,7940.37,7847.32,7874.16,1936210000,0,0,2019-09-03
7949.81,7981.41,7928.94,7976.88,1891300000,0,0,2019-09-04
8061.29,8134.42,8061.29,8116.83,2096300000,0,0,2019-09-05
8125.58,8134.39,8098.52,8103.07,1876380000,0,0,2019-09-06
8130.91,8131.66,8052.34,8087.44,2172240000,0,0,2019-09-09
8049.98,8086.53,8001.68,8084.16,2362860000,0,0,2019-09-10
8091.68,8169.68,8081.56,8169.68,2310440000,0,0,2019-09-11
8206.58,8243.8,8176.73,8194.47,2159260000,0,0,2019-09-12
8190.57,8210.2,8165.47,8176.71,1976770000,0,0,2019-09-13
8121.64,8165.33,8121.25,8153.54,1869220000,0,0,2019-09-16
8148.65,8188.23,8139.82,8186.02,1850340000,0,0,2019-09-17
8174.62,8179.87,8086.22,8177.39,2034880000,0,0,2019-09-18
8193.59,8237.43,8174.32,8182.88,1792700000,0,0,2019-09-19
8184.88,8202.82,8086.16,8117.67,3359380000,0,0,2019-09-20
8106.49,8135.81,8085.34,8112.46,1780160000,0,0,2019-09-23
8147.23,8158.83,7969.65,7993.63,2302600000,0,0,2019-09-24
7990.66,8095.0,7935.57,8077.38,2015270000,0,0,2019-09-25
8070.12,8072.11,7991.02,8030.66,1832800000,0,0,2019-09-26
8047.11,8051.83,7890.28,7939.63,2037720000,0,0,2019-09-27
7964.09,8012.16,7949.63,7999.34,1805820000,0,0,2019-09-30
8026.83,8062.5,7906.29,7908.68,2243650000,0,0,2019-10-01
7851.13,7852.7,7744.96,7785.25,2495160000,0,0,2019-10-02
7787.02,7872.26,7700.0,7872.26,2141490000,0,0,2019-10-03
7908.44,7986.62,7899.39,7982.47,1736890000,0,0,2019-10-04
7956.41,8013.31,7942.08,7956.29,1739450000,0,0,2019-10-07
7898.27,7921.88,7823.73,7823.78,1933580000,0,0,2019-10-08
7895.96,7930.92,7873.52,7903.74,1553900000,0,0,2019-10-09
7904.56,7982.84,7899.81,7950.78,1778740000,0,0,2019-10-10
8047.34,8115.8,8046.8,8057.04,2176080000,0,0,2019-10-11
8044.35,8069.85,8036.41,8048.65,1419730000,0,0,2019-10-14
8074.85,8166.18,8071.81,8148.71,1836650000,0,0,2019-10-15
8119.81,8146.15,8103.38,8124.18,1886720000,0,0,2019-10-16
8176.91,8183.64,8131.25,8156.85,1861570000,0,0,2019-10-17
8149.85,8157.36,8045.37,8089.54,2012930000,0,0,2019-10-18
8137.42,8164.14,8117.26,8162.99,1752860000,0,0,2019-10-21
8188.12,8194.62,8101.98,8104.3,1847200000,0,0,2019-10-22
8090.24,8122.88,8078.35,8119.79,1805030000,0,0,2019-10-23
8180.04,8187.84,8137.66,8185.8,1882490000,0,0,2019-10-24
8150.59,8249.97,8150.59,8243.12,1894740000,0,0,2019-10-25
8285.77,8335.56,8285.27,8325.99,1956280000,0,0,2019-10-28
8313.35,8319.29,8275.14,8276.85,1834530000,0,0,2019-10-29
8284.28,8315.5,8241.7,8303.98,1928420000,0,0,2019-10-30
8314.38,8321.8,8248.81,8292.36,2258270000,0,0,2019-10-31
